feedback,source
"Love the new dashboard! It's so much easier to navigate now.","Survey Response"
"The app crashes whenever I try to export data. This is really frustrating.","Support Ticket"
"Pricing seems a bit high compared to competitors. Would love to see a discount for annual plans.","Customer Feedback"
"The mobile app needs better offline support. I travel a lot and need to work without internet.","Feature Request"
"Great customer service! The support team responded within minutes.","Testimonial"
"The UI is confusing. I can't find the settings menu.","User Feedback"
"Performance has improved significantly since the last update. Great work!","Product Review"
"Need more integration options. Would love to connect with Slack and Teams.","Feature Request"
"The onboarding process was smooth and intuitive.","Onboarding Survey"
"Bugs in the reporting feature. Charts don't display correctly.","Bug Report"
